enlace_producto,enlace_imagen
/lechuga-espanola-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/672675-180-180?width=180&height=180&aspect=true
/manzana-pink-lady-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/181563-180-180?width=180&height=180&aspect=true
/tomate-san-marsano-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/213845-180-180?width=180&height=180&aspect=true
/chirimoya-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/412367-180-180?width=180&height=180&aspect=true
/jamon-pierna-artesanal-receta-del-abuelo-125-g/p,https://jumbo.vteximg.com.br/arquivos/ids/677798-180-180?width=180&height=180&aspect=true
/pechuga-de-pavo-cocida-receta-del-abuelo-125-g/p,https://jumbo.vteximg.com.br/arquivos/ids/696363-180-180?width=180&height=180&aspect=true
/agua-saborizada-cachant-n-m-s-1-6-l-pera/p,https://jumbo.vteximg.com.br/arquivos/ids/949245-180-180?width=180&height=180&aspect=true
/agua-saborizada-cachant-n-m-s-1-6-l-granada/p,https://jumbo.vteximg.com.br/arquivos/ids/949238-180-180?width=180&height=180&aspect=true
/queso-holland-maasdammer-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/908675-180-180?width=180&height=180&aspect=true
/aceite-maravilla-natura-900-ml/p,https://jumbo.vteximg.com.br/arquivos/ids/467438-180-180?width=180&height=180&aspect=true
/aceite-maravilla-chef-1-l/p,https://jumbo.vteximg.com.br/arquivos/ids/868005-180-180?width=180&height=180&aspect=true
/pechuga-entera-super-pollo/p,https://jumbo.vteximg.com.br/arquivos/ids/984666-180-180?width=180&height=180&aspect=true
/filete-cat-v/p,https://jumbo.vteximg.com.br/arquivos/ids/954014-180-180?width=180&height=180&aspect=true
/asiento-cat-v/p,https://jumbo.vteximg.com.br/arquivos/ids/953958-180-180?width=180&height=180&aspect=true
/salame-italiano-pf-gr/p,https://jumbo.vteximg.com.br/arquivos/ids/437825-180-180?width=180&height=180&aspect=true
/tocino-cortado-la-preferida-180-g/p,https://jumbo.vteximg.com.br/arquivos/ids/824512-180-180?width=180&height=180&aspect=true
/queso-parmesano-colun-rallado-40-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/413377-180-180?width=180&height=180&aspect=true
/queso-mantecoso-rio-bueno-trozo-granel-2/p,https://jumbo.vteximg.com.br/arquivos/ids/1010933-180-180?width=180&height=180&aspect=true
/queso-mantecoso-las-parcelas-valdivia-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/1011412-180-180?width=180&height=180&aspect=true
/queso-ranco-colun-laminado-al-vacio-500-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/677739-180-180?width=180&height=180&aspect=true
/pechuga-de-pavo-asada-sopraval-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/598710-180-180?width=180&height=180&aspect=true
/jamon-cocido-de-pavo-sopraval-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/599055-180-180?width=180&height=180&aspect=true
/jamon-artesanal-receta-del-abuelo-g/p,https://jumbo.vteximg.com.br/arquivos/ids/397655-180-180?width=180&height=180&aspect=true
/pechuga-de-pavo-cocida-la-preferida-2/p,https://jumbo.vteximg.com.br/arquivos/ids/169730-180-180?width=180&height=180&aspect=true
/queso-gouda-soproles-500-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/1013526-180-180?width=180&height=180&aspect=true
/papel-higienico-elite-doble-hoja-8-unid-50-m-c-u/p,https://jumbo.vteximg.com.br/arquivos/ids/961476-180-180?width=180&height=180&aspect=true
/bolsas-de-basura-mediana-virutex-70x90-cm-10-unid-bio-rollo/p,https://jumbo.vteximg.com.br/arquivos/ids/428138-180-180?width=180&height=180&aspect=true
